ACFDDKK1XXX,213800Z156GT4VXSGZ89,ACCUNIA FONDSMÆGLERSELSKAB A/S,,,,,,,,,,,,,
ACFRITM1XXX,815600EB2286CF8C3015,"ARCOBALENO FINANCE S.R.L.""""",,,,,,,,,,,,,
ACFXCAW1XXX,549300FQFP58VFS6PL04,Accu-Rate Corporation,,,,,,,,,,,,,
ACGDGDGDXXX,549300PK6LFJ2F3E0519,RBTT Bank Grenada Limited,,,,,,,,,,,,,
ACGEFRP1XXX,969500P97QT67DSKMQ68,ACOFI GESTION,,,,,,,,,,,,,
ACGGUS33XXX,5493003L424PJ1BWHS66,ATALAYA CAPITAL MANAGEMENT LP,,,,,,,,,,,,,
ACGLUS41XXX,5493007ROE8YOPR8OG19,"ATIVO CAPITAL MANAGEMENT, LLC",,,,,,,,,,,,,
ACGMGB21XXX,213800Y7WLJILTZZ5I67,IBP MARKETS LTD,,,,,,,,,,,,,
ACGOITR1XXX,815600EE82868C20A274,"SOFTLAB - SOCIETA' PER AZIONI"" IN BREVE ""SOFTLAB S.P.A.""""",,,,,,,,,,,,,
ACGPGB21XXX,213800S8BX7IUF56TH23,AVENTICUM CAPITAL MANAGEMENT (UK) LLP,,,,,,,,,,,,,
ACGUGB21XXX,213800LW7FVTA6T6DK16,ACM GROUP LIMITED,,,,,,,,,,,,,
ACHBCNS1XXX,300300F2009331000091,友邦人寿保险有限公司,,,,,,,,,,,,,
ACHDHKK1XXX,875500U06UKANMJQV467,ALNAMAA CAPITAL HOLDINGS LIMITED,,,,,,,,,,,,,
ACHHIT21XXX,815600F02C9B44DC1B21,ACQUE DEL CHIAMPO S.P.A.,,,,,,,,,,,,,
ACHIHKH1XXX,54930082I3RDSBRNR559,"ANGLO CHINESE SECURITIES, LIMITED",,,,,,,,,,,,,
ACHLNL21XXX,724500AH42V5X8BCPE49,Achmea Bank N.V.,,,,,,,,,,,,,
ACIDIE21XXX,549300BN2OQA45ZT7Y20,ALPHABET CAPITAL INTERNATIONAL DESIGNATED ACTIVITY COMPANY,,,,,,,,,,,,,
ACILUS61XXX,549300HH7ZKU17SIO079,ALGERT GLOBAL LLC,,,,,,,,,,,,,
ACIMGB21XXX,213800PC3R9TZJHYV315,ADAM & COMPANY INVESTMENT MANAGEMENT LIMITED,,,,,,,,,,,,,
ACIOMXMMXXX,4469000001BLWI4LQJ08,BANCO ACTINVER SA INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO ACTINVER,,,,,,,,,,,,,
